"gene1","gene2","p.value","q.value"
"RNF43","COL5A1",0.000966521258655605,0.0115867137280616
"PMS2","PIK3R1",0.00097258869492677,0.0116521196695158
"CCND1","PIK3R1",0.00097258869492677,0.0116521196695158
"U2AF1","FOXA2",0.000975286977569479,0.0117322989420613
"PPP2R1A","PIK3R2",0.000977275228941668,0.01175194472581
"SOX17","ASXL1",0.000978953066968598,0.0117710810355875
"FOXA2","MGA",0.000981749175349123,0.0117908245352504
"FOXA2","ATRX",0.000981749175349123,0.0117908245352504
"ARID5B","NOTCH1",0.000985120886974217,0.0118293826008824
"DDX3X","PIK3R2",0.00098620457316523,0.0118486195931586
"TP53","SF1",0.000987075630703727,0.0118621003431734
"TGFBR2","TP53",0.000987075630703727,0.0118621003431734
"RPL22","NOTCH2",0.000989343114047489,0.0118621003431734
"RPL22","KIF1A",0.000989343114047489,0.0118621003431734
"SOX17","CHD3",0.000992627591227071,0.011990753419167
"FGFR2","RASA1",0.000998763461098001,0.0120752324814311
"RPL22","TCF7L2",0.00100158776735019,0.0120857216924029
"RPL22","RUNX1",0.00100158776735019,0.0120857216924029
"RPL22","ESR1",0.00100158776735019,0.0120857216924029
"MED12","FGFR2",0.00100427399274304,0.0120857216924029
"RNF43","KEL",0.0010066048959745,0.0120911708371446
"TLR4","RNF43",0.0010066048959745,0.0120911708371446
"STAG2","PIK3R1",0.00100905494576606,0.0121393558082919
"PDS5B","PIK3R1",0.00100905494576606,0.0121393558082919
"CTNNB1","CDK12",0.00101125217030203,0.0121486950552016
"PIK3R1","SETBP1",0.00101608437187954,0.012193412779506
"LATS1","PIK3R1",0.00101608437187954,0.012193412779506
"POLQ","DAZAP1",0.00101691845419488,0.012193412779506
"DICER1","DAZAP1",0.00101691845419488,0.012193412779506
"CTNNB1","BRCA2",0.0010241995961193,0.0122630421980217
"TP53","PIK3R2",0.00102580226791982,0.0122679583874202
"SPOP","FUBP1",0.00102888181399785,0.0123066322816373
"RNF43","BCOR",0.00103012872930643,0.0123094657516624
"FBXW7","BAP1",0.00103376454100906,0.0123374358985509
"PGR","FBXW7",0.00103376454100906,0.0123374358985509
"FOXA2","MACF1",0.00103632257493497,0.0123426838889891
"AKT1","PIK3R1",0.00104404737117787,0.0124076675345356
"NCOR1","PIK3R2",0.00105107295126744,0.0124531942337293
"FOXA2","TAF1",0.00105179884857706,0.0124531942337293
"ZFP36L2","KANSL1",0.0010530173103026,0.012472053099218
"FBXW7","AXIN2",0.00105828078626983,0.0125180528938318
"ARID1A","DMD",0.00106149213026235,0.0125264525134386
