"gene1","gene2","p.value","q.value"
"TP53","SPOP",2.96631173487749e-07,7.93925739310844e-06
"MSH2","KRAS",3.01616236800667e-07,8.02786465164124e-06
"KRAS","MLH1",3.32286808328132e-07,8.92107968253617e-06
"ERBB2","KRAS",3.32286808328132e-07,8.92107968253617e-06
"CTNNB1","FLNA",3.36171917364595e-07,8.94182850439321e-06
"TP53","SETBP1",3.44957156862206e-07,9.18301943066499e-06
"APC","KRAS",3.4674646253201e-07,9.18301943066499e-06
"ARID1A","FOXA2",3.54671706950086e-07,9.5007265271342e-06
"RPL22","CHD4",3.76873330589695e-07,9.97841804926483e-06
"MAP3K4","KRAS",3.82178411201721e-07,1.01157941311395e-05
"DDX3X","PPP2R1A",3.88775101319907e-07,1.02929251687121e-05
"ARAF","TP53",3.97771701681103e-07,1.04461160564999e-05
"SMC3","KRAS",4.07792747774209e-07,1.07229498150267e-05
"DDX3X","KRAS",4.07792747774209e-07,1.07229498150267e-05
"AKT1","TP53",4.26063092921186e-07,1.10936941830366e-05
"MEN1","KRAS",4.45285007446598e-07,1.15822927738486e-05
"PPP2R1A","NIPBL",4.50365122897234e-07,1.17479320319893e-05
"JAK2","KRAS",4.61028997636743e-07,1.21436640590203e-05
"PPP2R1A","PTPRD",4.75461089801067e-07,1.26718367119768e-05
"CUL3","TP53",4.88339293669401e-07,1.30689573251046e-05
"RNF43","FBXW7",5.28782577036939e-07,1.40917686766782e-05
"PTPRC","KRAS",5.44769040305612e-07,1.44192962449976e-05
"KMT2A","KRAS",5.46524465980975e-07,1.44381618081139e-05
"CTNNB1","SCAF4",5.55723005964143e-07,1.46045760043333e-05
"SMC1A","KRAS",5.55897574504706e-07,1.46045760043333e-05
"RBM10","TP53",5.61326017051034e-07,1.46991479889692e-05
"ATM","PIK3R1",5.88883306777427e-07,1.5117026716431e-05
"FBXW7","SPOP",6.24132032981434e-07,1.63124256119926e-05
"PPP2R1A","RB1",6.77620255768503e-07,1.75823935355903e-05
"CTNNB1","PIK3R2",6.83618652934161e-07,1.76864357493645e-05
"TP53","JAK3",6.94398753122596e-07,1.78566427622005e-05
"PIK3CB","TP53",6.94398753122596e-07,1.78566427622005e-05
"MUC6","KRAS",7.12283182451857e-07,1.83553406985503e-05
"PIK3R1","TAF1",7.12557336161173e-07,1.83553406985503e-05
"NFE2L2","KRAS",7.19133752250791e-07,1.84733771513478e-05
"AMER1","KRAS",7.23960871692586e-07,1.85469548722117e-05
"KIT","KRAS",7.23960871692586e-07,1.85469548722117e-05
"PPP2R1A","CHD8",7.36643008817684e-07,1.88056175373504e-05
"CTNNB1","ZBTB7B",7.36856366467124e-07,1.88056175373504e-05
"CCND1","CTNNB1",7.36856366467124e-07,1.88056175373504e-05
"CUL1","TP53",7.50832351610683e-07,1.91570524073545e-05
"KMT2B","FBXW7",7.52371673804867e-07,1.9178727012402e-05
"KRAS","RASA1",7.8657423476728e-07,1.99272614471158e-05
"EPAS1","TP53",7.88133262282663e-07,1.99272614471158e-05
"RPL22","CDK12",7.99576214477422e-07,2.0181515403422e-05
"TP53","FLT3",8.23110288657785e-07,2.06861912599499e-05
"TET2","TP53",8.23110288657785e-07,2.06861912599499e-05
"PPP2R1A","MGA",8.33040792444522e-07,2.07682944184076e-05
"PPP2R1A","ATRX",8.33040792444522e-07,2.07682944184076e-05
"PPP2R1A","POLE",8.33040792444522e-07,2.07682944184076e-05
"PPP2R1A","HUWE1",8.3323214035183e-07,2.07682944184076e-05
"PPP2R1A","EP300",8.35780288402797e-07,2.08408935025115e-05
"PTEN","FBXW7",8.94567332177392e-07,2.23378458427607e-05
"ACVR2A","CTNNB1",9.53887975691875e-07,2.4142856789005e-05
"KIT","TP53",9.55259728117134e-07,2.4142856789005e-05
"MSH3","KRAS",9.61696530193384e-07,2.4169565557942e-05
"EPHA2","KRAS",9.67631618446936e-07,2.43629864730121e-05
"PIK3CA","FBXW7",9.94779676355141e-07,2.49337285869037e-05
"ACVR2A","PIK3R1",1.02665830440747e-06,2.54239210372423e-05
"EZH2","KRAS",1.05586528214869e-06,2.58445283651925e-05
"CSDE1","KRAS",1.05586528214869e-06,2.58445283651925e-05
"PPP2R1A","CSDE1",1.11329015239809e-06,2.75374729833684e-05
"CIC","PIK3R1",1.20964429952833e-06,3.01148606864408e-05
"NF2","KRAS",1.25523812758131e-06,3.12190793805829e-05
"CTNNB1","MAP3K1",1.34637888052951e-06,3.30231889416053e-05
"SIN3A","KRAS",1.35060445400122e-06,3.30933807731835e-05
"EPHA2","TP53",1.40792401997637e-06,3.49983520436439e-05
"NCOR1","KRAS",1.44068872159962e-06,3.59109594620815e-05
"PPP2R1A","APC",1.4623315595768e-06,3.62141895837834e-05
"RNF43","CHD4",1.48665477187659e-06,3.67588496668907e-05
"CNBD1","KRAS",1.54516219909237e-06,3.78850300835859e-05
"RPL22","FBXW7",1.64824633763381e-06,4.06822207185334e-05
"TP53","TSC1",1.68206230354752e-06,4.13527570217028e-05
"ZMYM2","PIK3R1",1.6909225831785e-06,4.16247886114662e-05
"RPL22","SOS1",1.69662160238646e-06,4.17703386018701e-05
"SMARCA4","TP53",1.74894299722293e-06,4.28999108738813e-05
"PPP2R1A","BRCA2",1.75294290881526e-06,4.28999108738813e-05
"PPP2R1A","KANSL1",1.77123837391478e-06,4.32007744958477e-05
"ZMYM2","PPP2R1A",1.77123837391478e-06,4.32007744958477e-05
"ZBTB20","CTNNB1",1.85865246616058e-06,4.51366016895116e-05
"PAX5","TP53",1.99421258705914e-06,4.88733956750364e-05
"PPM1D","TP53",2.00385826861296e-06,4.90966823220038e-05
"RNF43","MAP3K1",2.02244788772006e-06,4.94446743175664e-05
"CUL3","KRAS",2.03672068105877e-06,4.98509902699218e-05
"PPP2R1A","CARD11",2.04504714846831e-06,5.00726900006024e-05
"PPP2R1A","KMT2A",2.16888317675116e-06,5.25455738626881e-05
"ERBB3","PIK3R1",2.17532375946e-06,5.26412646710756e-05
"CTNNB1","DMD",2.1952448435064e-06,5.27758038172362e-05
"NFE2L2","SPOP",2.32169244997058e-06,5.56798549483024e-05
"TP53","JAK2",2.41434182728894e-06,5.80559800820955e-05
"KRAS","BAP1",2.4768290210984e-06,6.02906060100158e-05
"RPL22","ARHGAP35",2.50478324736553e-06,6.09365691701334e-05
"PPP2R1A","NFE2L2",2.53915169991766e-06,6.17886852734945e-05
"FOXA2","JAK1",2.54163509954996e-06,6.17886852734945e-05
"KRAS","WHSC1",2.55271906670417e-06,6.17886852734945e-05
"LZTR1","KRAS",2.56716395814715e-06,6.19625258836712e-05
"IL6ST","TP53",2.58630690986805e-06,6.20983846518097e-05
"TCF7L2","TP53",2.58630690986805e-06,6.20983846518097e-05
"PIK3R1","SPTA1",2.59836903946591e-06,6.20983846518097e-05
"PIK3R1","APOB",2.59836903946591e-06,6.20983846518097e-05
"CCND1","ACVR1",2.67178850394104e-06,6.40636773682474e-05
"CACNA1A","TP53",2.71051389029924e-06,6.51596734448228e-05
"ZMYM3","PPP2R1A",2.71268896617567e-06,6.51596734448228e-05
"MSH2","TP53",2.77251842623306e-06,6.64989690498584e-05
"PPP2R1A","SIN3A",2.80850140804507e-06,6.73879650297816e-05
"RPL22","SMC3",2.91478615992498e-06,6.92253345598836e-05
"PPP2R1A","LZTR1",2.9533585717361e-06,6.95285129765391e-05
"CTNNB1","NOTCH1",3.09736929584901e-06,7.34947045402093e-05
"CSDE1","TP53",3.09768364099525e-06,7.34947045402093e-05
"MYH9","TP53",3.09768364099525e-06,7.34947045402093e-05
"PIK3R1","RB1",3.12423364998234e-06,7.37087682115433e-05
"KEL","KRAS",3.17264417518967e-06,7.46802032918642e-05
"SOX9","TP53",3.17283517674112e-06,7.46802032918642e-05
"PLXNB2","PIK3R1",3.28984511381664e-06,7.75881400040134e-05
"FOXA2","TET2",3.40718380639646e-06,7.98159900726944e-05
"CTNNB1","APOB",3.41166733443922e-06,7.98159900726944e-05
"TP53","AMER1",3.42336007432392e-06,7.98159900726944e-05
"ALB","TP53",3.46209061052153e-06,8.03504978635271e-05
"PPP2R1A","PDS5B",3.49290112169488e-06,8.06791397338475e-05
"RPL22","FGFR2",3.53387093668301e-06,8.18112791026367e-05
"ERBB3","DAZAP1",3.64387854558245e-06,8.41861176877619e-05
"EPHA2","CTNNB1",3.69550651251854e-06,8.55318042323709e-05
"ZBTB20","PPP2R1A",3.80771306819827e-06,8.75127993183812e-05
"TP53","TBX3",3.86978568001751e-06,8.92297831297206e-05
"ZCCHC12","KRAS",3.8888018855609e-06,8.98189188731993e-05
